iso,jurisdiction,n_policies,n_binding,n_novel,n_economic,n_instr_types,n_recent,n_policies_n,n_binding_n,n_novel_n,n_economic_n,n_instr_types_n,n_recent_n,stringency,novel_cdr_2025_Mt
GBR,United Kingdom,31,1,12,13,9,21,0.8888888888888888,0.25,1.0,0.8125,1.0,1.0,0.8252314814814815,0.010264517
AUS,Australia,34,1,5,16,9,21,1.0,0.25,0.4166666666666667,1.0,1.0,1.0,0.7777777777777778,0.006688599
EU,European Union,28,4,1,6,9,15,0.7777777777777778,1.0,0.08333333333333333,0.375,1.0,0.6842105263157895,0.65338693957115,
DEU,Germany,22,1,9,8,7,14,0.5555555555555556,0.25,0.75,0.5,0.6666666666666666,0.631578947368421,0.5589668615984404,0.003262615
BRA,Brazil,25,1,3,6,8,10,0.6666666666666666,0.25,0.25,0.375,0.8333333333333334,0.42105263157894735,0.46600877192982454,0.105959446
USA,United States,19,0,8,7,8,9,0.4444444444444444,0.0,0.6666666666666666,0.4375,0.8333333333333334,0.3684210526315789,0.45839424951267055,1.0039981869999999
CAN,Canada,16,1,3,6,9,11,0.3333333333333333,0.25,0.25,0.375,1.0,0.47368421052631576,0.4470029239766082,0.005633756
FRA,France,16,3,3,4,8,7,0.3333333333333333,0.75,0.25,0.25,0.8333333333333334,0.2631578947368421,0.4466374269005848,0.000716094
CHN,China,22,0,4,3,7,10,0.5555555555555556,0.0,0.3333333333333333,0.1875,0.6666666666666666,0.42105263157894735,0.36068469785575047,0.011059795
JPN,Japan,16,1,3,2,7,9,0.3333333333333333,0.25,0.25,0.125,0.6666666666666666,0.3684210526315789,0.33223684210526316,0.001211964
IDN,Indonesia,15,1,1,0,5,9,0.2962962962962963,0.25,0.08333333333333333,0.0,0.3333333333333333,0.3684210526315789,0.22189733593242367,0.00304527
ARG,Argentina,13,0,0,4,7,5,0.2222222222222222,0.0,0.0,0.25,0.6666666666666666,0.15789473684210525,0.21613060428849903,0.0
MEX,Mexico,10,1,0,1,6,4,0.1111111111111111,0.25,0.0,0.0625,0.5,0.10526315789473684,0.17147904483430798,0.003932962
IND,India,8,0,1,2,6,4,0.037037037037037035,0.0,0.08333333333333333,0.125,0.5,0.10526315789473684,0.1417722547108512,0.377715776
ITA,Italy,11,1,2,0,3,7,0.14814814814814814,0.25,0.16666666666666666,0.0,0.0,0.2631578947368421,0.13799545159194282,0.000235257
RUS,Russia,10,0,0,2,4,5,0.1111111111111111,0.0,0.0,0.125,0.16666666666666666,0.15789473684210525,0.09344541910331383,0.000957174
ZAF,South Africa,9,0,0,1,5,2,0.07407407407407407,0.0,0.0,0.0625,0.3333333333333333,0.0,0.0783179012345679,0.024730407
KOR,Republic of Korea,7,1,0,0,3,4,0.0,0.25,0.0,0.0,0.0,0.10526315789473684,0.05921052631578947,0.047422332
SAU,Saudi Arabia,7,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.017543859649122806,0.024251342
TUR,Turkey,8,0,0,0,3,3,0.037037037037037035,0.0,0.0,0.0,0.0,0.05263157894736842,0.014944769330734242,0.00125549
