method,first_year,last_year,first_Mt,last_Mt,CAGR_pct
Alkalinity Enhancement of Water Bodies,2023,2025,0.0001,0.0035,407.9
Biomass Burial,2023,2025,0.0019,0.0465,394.7
Direct Air Carbon Capture and Storage,2023,2025,0.0001,0.0015,287.3
Biochar Soil Amendment,2021,2025,0.205,1.4629,63.4
Mineral Products,2021,2025,0.0004,0.0022,53.1
Biomass Sinking,2020,2023,0.0021,0.0047,31.0
Other,2020,2025,0.0035,0.0093,21.6
Enhanced Weathering,2021,2025,0.0025,0.0038,11.0
Bio-Oil Storage,2020,2025,0.0035,0.0057,10.2
Bioenergy with Carbon Capture and Storage,2017,2025,0.5066,0.5105,0.1
