tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Railroad,NOR,Norway,kilometers,1825,1957,1971,saturating,national,regional_csv
Railroad,FRA,France,kilometers,1825,1933,1940,saturating,national,regional_csv
Railroad,FIN,Finland,kilometers,1825,1979,2000,saturating,national,regional_csv
Railroad,SWE,Sweden,kilometers,1825,1938,1958,saturating,national,regional_csv
Railroad,DNK,Denmark,kilometers,1825,1930,1937,saturating,national,regional_csv
Railroad,ITA,Italy,kilometers,1825,1942,2000,pre_saturation,national,regional_csv
Railroad,PRT,Portugal,kilometers,1825,1994,2000,pre_saturation,national,regional_csv
Railroad,GBR,United Kingdom,kilometers,1825,1926,1950,saturating,national,regional_csv
Railroad,ESP,Spain,kilometers,1825,1952,1968,saturating,national,regional_csv
Railroad,USA,United States,kilometers,1830,1916,1935,saturating,national,regional_csv
Railroad,PAN,Panama,kilometers,1830,1986,1999,saturating,national,regional_csv
Railroad,CHE,Switzerland,kilometers,1825,1937,1946,saturating,national,regional_csv
Railroad,BEL,Belgium,kilometers,1825,1933,1941,saturating,national,regional_csv
Railroad,NLD,Netherlands,kilometers,1825,1929,1934,saturating,national,regional_csv
Railroad,CAN,Canada,kilometers,1836,1974,1979,saturating,national,regional_csv
Railroad,ECU,Ecuador,kilometers,1845,1963,1968,saturating,national,regional_csv
Railroad,BRA,Brazil,kilometers,1845,1960,1962,saturating,national,regional_csv
Railroad,URY,Uruguay,kilometers,1845,1982,1999,saturating,national,regional_csv
Railroad,PRY,Paraguay,kilometers,1845,1937,1953,saturating,national,regional_csv
Railroad,COL,Colombia,kilometers,1845,1961,1981,saturating,national,regional_csv
Railroad,GUY,Guyana,kilometers,1845,1914,1928,saturating,national,regional_csv
Steamships,DNK,Denmark,-,1844,1914,1926,saturating,national,regional_csv
Railroad,JPN,Japan,kilometers,1853,1987,1990,saturating,national,regional_csv
Railroad,ARG,Argentina,kilometers,1845,1955,1961,saturating,national,regional_csv
Railroad,TWN,Taiwan,kilometers,1853,1998,1998,pre_saturation,national,regional_csv
Railroad,IND,India,kilometers,1853,1936,1940,saturating,national,regional_csv
Railroad,GHA,Ghana,kilometers,1862,1969,1998,saturating,national,regional_csv
Railroad,KEN,Kenya,kilometers,1862,1997,1998,pre_saturation,national,regional_csv
Railroad,MOZ,Mozambique,kilometers,1862,1971,1975,saturating,national,regional_csv
Railroad,EGY,Egypt,kilometers,1862,1991,1998,saturating,national,regional_csv
Railroad,MUS,Mauritius,kilometers,1862,1918,1930,saturating,national,regional_csv
Railroad,ETH,Ethiopia,kilometers,1862,1917,1988,saturating,national,regional_csv
Railroad,GIN,Guinea,kilometers,1862,1984,1993,saturating,national,regional_csv
Railroad,BEN,Benin,kilometers,1862,1936,1940,saturating,national,regional_csv
Railroad,AGO,Angola,kilometers,1862,1971,1974,saturating,national,regional_csv
