Chapter,Jurisdiction,Iso,Document title,Year enacted,Years amended,Policy scope,CDR relevance,Broad method,Specific method,CDR value chain focus,Instrument category,Instrument type,Target year,Target amount,Target unit,Target type,Target binding,Policy link
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Forest Policy Statement,1992,,Framework,National framework for sustainable forest management which recognises the need to maintain or increase forest carbon sink capacity and minimise emissions from forest activities.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,,,,,,,https://www.agriculture.gov.au/agriculture-land/forestry/policies/forest-policy-statement
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Regional Forest Agreements,1997,,Framework,Long-term agreements for sustainable management of native forests; indirectly govern forest carbon stocks and constraints on harvesting.,Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Other,,,,,,,https://www.agriculture.gov.au/agriculture-land/forestry/policies/rfa
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Deductions for Carbon Sink Forest Expenses,2007,,Instrument,"Tax deduction allowing businesses to claim establishment costs for forests planted for carbon sequestration, improving financial viability of sink forests.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,tax_incentive,,,,,,https://www.ato.gov.au/businesses-and-organisations/income-deductions-and-concessions/income-and-deductions-for-business/deductions/deductions-for-carbon-sink-forest-expenses
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Carbon Credits (Carbon Farming Initiative) Act 2011,2011,2014; 2023,Instrument,"Establishes the national carbon crediting framework that issues Australian Carbon Credit Units (ACCUs) for emissions reduction and sequestration projects, including forestry and soil carbon activities.",Multiple,Multiple,Demand,Regulatory instrument,mrv_standard; regulatory_safeguard; compliance_market_integration,,,,,,https://faolex.fao.org/docs/pdf/aus112294.pdf
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australian Carbon Credit Unit (ACCU) Scheme / Emissions Reduction Fund,2014,2023,Instrument,"National carbon crediting mechanism that issues ACCUs for emissions reductions and sequestration, including land-based and some engineered CDR methods; credits can be sold to government or used for Safeguard Mechanism compliance.",Multiple,Multiple,Demand,Economic instrument,mrv_standard; public_procurement,,,,,,https://www.dcceew.gov.au/climate-change/emissions-reduction/accu-scheme
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,20 Million Trees Programme (National Landcare Program),2014,2017,Instrument,"Programme to plant 20 million trees to create green corridors, urban forests and restore ecological communities, increasing biomass carbon.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,2020,20,million trees,CDR,,https://www.stateoftheenvironment.des.qld.gov.au/biodiversity/management-responses/policy-and-programs/national-landcare-programme
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australian Carbon Credit Unit Scheme Plantation Forestry Notification,2015,2022,Instrument,"Notification process to assess potential impacts of ERF plantation forestry projects on agriculture and water, conditioning where new forest carbon projects can occur.",Conventional CDR,"Afforestation, reforestation, forest management",Cross-cutting,Regulatory instrument,regulatory_safeguard; mrv_standard,,,,,,https://www.agriculture.gov.au/agriculture-land/farm-food-drought/climatechange/mitigation/cfi/plantation-forestry-notifications
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Forest Industries Plan,2018,,Instrument,"Plan to support forest industries and expand plantation estate, including an ambition to plant one billion new plantation trees by 2030, increasing biomass carbon stocks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,2030,1000,million trees,CDR,,https://www.agriculture.gov.au/agriculture-land/forestry/national-forest-industries-plan
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Environment Small Grants (National Landcare Program),2018,2019,Instrument,"Small grants for local natural resource management projects, including restoration and greening actions that can enhance local carbon sinks.",Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://business.gov.au/grants-and-programs/national-landcare-program-environment-small-grants
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australian Technology Investment Roadmap,2020,,Framework,National roadmap prioritising low-emission technologies including CCS and direct air capture; indirect enabler for CDR via R&D priorities and funding signals.,Multiple,Multiple,Supply,Economic instrument,rd_d_funding; Other,,,,,,https://www.dcceew.gov.au/climate-change/publications/technology-investment-roadmap
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Carbon + Biodiversity (C+B) Pilot,2020,,Instrument,Pilot programme testing market arrangements that pay landholders for native plantings delivering both biodiversity benefits and carbon abatement.,Conventional CDR,"Afforestation, reforestation, forest management",Supply,Economic instrument,operating_subsidy,,,,,,https://www.dcceew.gov.au/environment/environmental-markets/agriculture-stewardship/c-b-pilot
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,"Carbon Capture, Use and Storage Development Fund",2021,,Instrument,"AUD 50m grant programme for CCUS, including mineral carbonation projects; reduces costs and technical risk for engineered CDR options.",Novel CDR; Enabling infrastructure,"Mineral products (e.g. CO₂-cured concrete, aggregates); CO₂ geological storage",Supply,Economic instrument,capital_subsidy,,,,,,https://www.minister.industry.gov.au/ministers/pitt/media-releases/accelerating-carbon-capture-technologies?utm_source
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Low Emissions International Technology Partnerships and Initiatives,2021,,Instrument,Co-funding R&D and demonstration projects for low-emission technologies including CCUS; international collaboration that can accelerate CDR-relevant innovation.,Multiple,Multiple,Supply,Economic instrument,rd_d_funding,,,,,,https://www.minister.industry.gov.au/ministers/taylor/media-releases/cutting-emissions-and-creating-jobs-international-partnerships
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Federal–South Australian Energy and Emissions Reduction Deal,2021,,Instrument,"Commonwealth–state deal that includes funding for CCS, hydrogen and other low-emission projects; indirectly supports CCUS infrastructure relevant for BECCS/DACCS.",Multiple,CO₂ geological storage; Multiple,Supply,Economic instrument,capital_subsidy,,,,,,https://www.minister.industry.gov.au/ministers/taylor/media-releases/energy-and-emissions-reduction-agreement-south-australia
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,National Soil Carbon Innovation Challenge,2021,,Instrument,"Competition to identify and fast-track low-cost, accurate technologies for measuring soil carbon, targeting measurement costs below USD 2.25/ha/year.",Conventional CDR,Soil carbon sequestration in croplands & grasslands,Supply,Economic instrument,rd_d_funding,,,,,,https://www.dcceew.gov.au/about/news/nscic-round-2-grant-guidelines-available
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Australian Forest and Wood Innovation,2021,,Instrument,"National institute supporting R&D and innovation in forest products, including longer-lived wood products that store carbon.",Conventional CDR,Durable wood products,Supply,Economic instrument,rd_d_funding,,,,,,https://www.agriculture.gov.au/agriculture-land/forestry/national/australian-forest-and-wood-innovations
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,CCUS Hubs and Technologies Program,2021,,Instrument,"Programme to deploy CCUS hubs and technologies, lowering costs of CO₂ compression, transport and storage and enabling future BECCS/DACCS projects.",Novel CDR; Enabling infrastructure,CO₂ geological storage; CO₂ transport; Multiple,Supply,Economic instrument,capital_subsidy; operating_subsidy,,,,,,https://business.gov.au/grants-and-programs/carbon-capture-use-and-storage-hubs-and-technologies-program-technologies-stream
State of CDR (Edition 3) - Policymaking and governance,Australia,AUS,Climate Change Act 2022,2022,,Framework,Framework climate law that sets Australia's binding national targets: at least 43% below 2005 levels by 2030 and net zero emissions by 2050; removals from land and potential engineered sinks are implicitly counted toward the net zero goal.,Multiple,Multiple,Cross-cutting,Regulatory instrument,target,2030; 2050,43; 0,% below 2005 levels,Emissions,Yes,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/Bills_Search_Results/Result?bId=r6885
