family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Railroad,112,-1.0,-0.2,0.04074843041383632,0.9458101834637108,0.4838709677419355,1.0,0.4879518072289157,0.6204819277108434,0.37593984962406013,1.0,0.512,0.568
Historical,Railroad,98,-1.0,,0.04632508918784192,0.9443992995113885,0.449438202247191,1.0,0.475,,0.4375,1.0,0.5061728395061729,
Historical,Railroad,83,-0.3885057471264368,0.6880399805086366,0.0364502102367339,0.8881681758728404,0.36,0.625,0.54,0.095,0.3723404255319149,0.5904255319148937,0.4731182795698925,0.10752688172043011
Historical,Railroad,91,0.8787878787878787,0.6000000000000001,0.036773511850487446,0.95,0.635,0.025,0.46,0.17,0.66,0.125,0.5,0.1717171717171717
Historical,Railroad,126,0.9230769230769229,-0.606060606060606,0.05263732277917549,0.95,0.61,0.015,0.49,0.775,0.4632768361581921,0.0903954802259887,0.4508670520231214,0.8670520231213873
Historical,Railroad,94,-0.9555555555555554,-0.6666666666666666,0.03351085548231825,0.95,0.441025641025641,0.9743589743589743,0.46195652173913043,0.7771739130434783,0.4413793103448276,0.9103448275862069,0.5037037037037037,0.8518518518518519
Historical,Steamships,77,0.5930735930735931,0.380952380952381,0.054044683107218855,0.8634983690291116,0.475,0.16,0.465,0.29,0.49746192893401014,0.20812182741116753,0.5177664974619289,0.3248730964467005
Historical,Railroad,108,-1.0,,0.047109817172955586,0.95,0.2857142857142857,1.0,0.4,,0.36904761904761907,1.0,0.4246575342465753,
Historical,Railroad,91,0.3571428571428571,-0.23809523809523814,0.03966407295788899,0.95,0.5879396984924623,0.38190954773869346,0.4690721649484536,0.5721649484536082,0.47586206896551725,0.38620689655172413,0.5151515151515151,0.6212121212121212
Historical,Railroad,82,0.2527472527472528,0.025641025641025637,0.028924732497238197,0.95,0.535,0.41,0.465,0.465,0.5175879396984925,0.4120603015075377,0.4,0.38974358974358975
Historical,Railroad,132,-0.3059467918622848,-0.5372233400402415,0.08312542642155454,0.948597972685283,0.45294117647058824,0.6882352941176471,0.4437869822485207,0.8402366863905325,0.5069444444444444,0.6597222222222222,0.4647887323943662,0.8028169014084507
Historical,Railroad,83,0.8008658008658008,0.5714285714285714,0.04883230217929736,0.8812142674101061,0.47,0.04,0.465,0.17,0.48484848484848486,0.1111111111111111,0.45454545454545453,0.18686868686868688
Historical,Railroad,83,-0.6263736263736264,0.7179487179487178,0.04604828547736285,0.95,0.3768844221105528,0.6884422110552764,0.45918367346938777,0.14795918367346939,0.33544303797468356,0.6075949367088608,0.39869281045751637,0.09803921568627451
Historical,Steamships,90,0.7243697478991596,0.9393939393939396,0.038636200691661765,0.95,0.53,0.07,0.495,0.0,0.53,0.1,0.52,0.0
Historical,Steamships,51,0.04761904761904762,0.5578947368421052,0.03774753228507524,0.728603264451797,0.5,0.48,0.5,0.225,0.55,0.505,0.565,0.23
Historical,Steamships,62,0.8522167487684726,0.8888888888888887,0.036561862184146685,0.8864594901843411,0.51,0.015,0.545,0.015,0.515,0.04,0.485,0.0
Historical,Telephones,52,0.2222222222222222,0.9999999999999998,0.032371943716070675,0.9033625565081261,0.55,0.455,0.505,0.005,0.505,0.425,0.507537688442211,0.0
Historical,Stove,110,0.9047619047619049,0.6,0.0468731369305798,0.95,0.6020408163265306,0.05102040816326531,0.4340659340659341,0.23626373626373626,0.5751633986928104,0.16339869281045752,0.4696969696969697,0.18181818181818182
Historical,Passenger Cars,78,-0.09941520467836257,0.803921568627451,0.03221929729586132,0.95,0.565,0.61,0.485,0.04,0.535,0.55,0.535,0.045
Historical,Telephones,54,0.6307692307692307,0.7466666666666665,0.039875444565525886,0.95,0.515,0.13,0.495,0.13,0.52,0.125,0.64,0.075
Historical,Telephones,74,-0.21290322580645166,0.8942528735632185,0.04028039391343019,0.9070158814730772,0.53,0.625,0.54,0.0,0.5,0.625,0.55,0.005
Historical,Passenger Cars,88,-0.8073089700996677,-0.30778164924506385,0.05415745571870808,0.9145928536265714,0.505,0.97,0.485,0.665,0.46,0.965,0.535,0.735
Historical,Passenger Cars,76,-0.0761904761904762,0.7999999999999999,0.03589715813041842,0.95,0.42,0.46,0.45,0.04,0.46,0.485,0.615,0.055
Historical,Telephones,76,0.226890756302521,0.8823529411764708,0.044071595047740546,0.95,0.52,0.37,0.5,0.005,0.525,0.405,0.62,0.005
Historical,Telephones,76,-0.7397504456327987,-0.12121212121212123,0.041593366210720725,0.95,0.48,0.95,0.445,0.51,0.535,0.92,0.555,0.61
Historical,Telephones,63,0.9358288770053477,0.9924242424242423,0.0693858349244676,0.95,0.485,0.0,0.465,0.0,0.56,0.01,0.575,0.0
Historical,Passenger Cars,80,-0.6945812807881773,-0.49735449735449727,0.038075609545179016,0.9345370294601996,0.475,0.9,0.455,0.79,0.55,0.935,0.59,0.85
Historical,Passenger Cars,77,-0.04761904761904762,0.9578947368421054,0.039641297849738896,0.95,0.5,0.53,0.485,0.0,0.465,0.51,0.66,0.0
Historical,Railroad,91,0.580952380952381,-0.663150970080761,0.07567303577575106,0.8604581858386412,0.3969849246231156,0.11557788944723618,0.49246231155778897,0.864321608040201,0.5290697674418605,0.21511627906976744,0.5529411764705883,0.8941176470588236
Historical,Telephones,73,0.5865546218487395,0.9786096256684493,0.05162975304899935,0.95,0.555,0.205,0.52,0.0,0.57,0.165,0.555,0.0
