group,name,geo_growth_pct,peak_growth_pct,early_plateau,sat_speed
Historical,Railroad,2.7,21.4,0.15,1.375
Historical,Railroad,3.0,17.2,0.15,1.65
Historical,Railroad,2.2,10.8,0.12,1.941
Historical,Railroad,3.3,24.8,0.17,1.547
Historical,Railroad,3.7,14.6,0.19,1.237
Historical,Railroad,2.8,13.6,0.17,1.253
Historical,Railroad,2.8,27.1,0.1,1.833
Historical,Railroad,2.5,21.6,0.08,1.65
Historical,Railroad,4.0,12.7,0.26,1.435
Historical,Railroad,2.9,16.3,0.07,1.547
Historical,Railroad,2.6,14.4,0.13,1.456
Historical,Railroad,2.4,11.8,0.22,1.868
Historical,Railroad,2.9,15.9,0.17,1.269
Historical,Steamships,5.0,17.2,0.3,1.356
Historical,Railroad,2.4,14.6,0.13,1.833
Historical,Railroad,3.3,16.8,0.2,1.478
Historical,Railroad,3.5,7.8,0.22,1.207
Historical,Railroad,1.9,16.7,0.02,1.065
Historical,Railroad,4.4,14.5,0.2,1.523
Historical,Railroad,4.5,24.5,0.17,1.138
Historical,Railroad,3.1,24.5,0.05,1.547
Historical,Railroad,2.3,17.4,0.13,2.2
Historical,Railroad,5.0,15.3,0.14,1.707
Historical,Steamships,3.8,7.2,0.4,1.065
Historical,Steamships,6.2,12.8,0.31,1.076
Historical,Public Roads,2.2,26.1,0.09,1.138
Historical,Steamships,5.1,13.5,0.32,1.042
Historical,Telephones,6.9,16.0,0.35,1.088
Historical,Stove,4.3,13.2,0.2,1.941
Historical,Passenger Cars,4.4,9.0,0.37,1.053
Historical,Telephones,7.6,10.4,0.5,1.042
Historical,Telephones,5.2,7.2,0.45,1.1
Historical,Passenger Cars,3.2,10.9,0.39,1.053
Historical,Passenger Cars,5.2,12.8,0.44,1.053
Historical,Telephones,5.3,7.9,0.52,1.031
Historical,Telephones,4.8,7.3,0.47,1.1
Historical,Telephones,8.4,13.2,0.65,1.031
Historical,Passenger Cars,3.4,12.2,0.41,1.125
Historical,Passenger Cars,4.9,12.2,0.44,1.065
Historical,Railroad,3.4,21.6,0.04,1.768
Historical,Telephones,5.7,7.6,0.52,1.042
Historical,Telephones,4.8,9.0,0.46,1.269
Historical,Telephones,13.3,19.8,0.65,1.021
Historical,Telephones,5.0,8.1,0.53,1.0
Historical,Washing Machines,5.0,8.3,0.33,1.042
Historical,Refrigerators,6.3,15.8,0.31,1.112
Historical,Telephones,4.5,7.7,0.47,1.088
Historical,Laundry Dryers,4.7,7.4,0.35,1.042
Historical,Passenger Cars,5.5,13.4,0.39,1.088
Historical,Passenger Cars,6.4,16.9,0.27,1.193
Historical,Telephones,5.6,9.2,0.53,1.01
Historical,Passenger Cars,6.4,14.7,0.54,1.088
Historical,Passenger Cars,5.0,17.7,0.32,1.179
Historical,Passenger Cars,8.4,22.6,0.27,1.065
Historical,Passenger Cars,7.6,17.0,0.45,1.031
Historical,Passenger Cars,5.2,10.1,0.45,1.031
Historical,Radio,5.1,14.5,0.46,1.01
Historical,Passenger Cars,5.0,10.2,0.44,1.031
Historical,Steamships,4.0,8.9,0.34,1.042
Historical,Telephones,4.1,20.6,0.56,1.01
Historical,Passenger Cars,5.0,13.4,0.4,1.021
Historical,Fluid Catalytic Cracking Refineries,4.3,11.3,0.23,1.151
Historical,Telephones,9.0,11.3,0.45,1.01
Historical,Passenger Cars,5.1,12.6,0.42,1.076
Historical,Telephones,6.6,10.5,0.45,1.042
Historical,Telephones,4.8,9.5,0.4,1.021
Historical,Passenger Cars,8.9,17.0,0.42,1.1
Historical,Passenger Cars,8.3,13.4,0.57,1.021
Historical,Telephones,6.7,9.2,0.44,1.042
Historical,Telephones,10.9,18.3,0.68,1.031
Historical,Passenger Cars,8.7,12.2,0.46,1.021
Historical,Steamships,9.4,76.7,0.76,1.0
Historical,High-Speed Rail,11.8,21.0,0.63,1.042
Historical,Hydroelectricity,10.5,26.9,0.41,1.042
Historical,Hydroelectricity,4.9,14.2,0.17,1.088
Historical,Nuclear Energy,7.5,20.2,0.18,1.356
Historical,Hydroelectricity,4.9,28.1,0.1,1.32
Historical,Hydroelectricity,8.3,55.9,0.21,2.415
Historical,Nuclear Energy,8.5,52.6,0.4,1.222
