idx,tech,country,scale,series_type,n_pts,year_start,excluded,excl_reason,end_frac,start_frac,s_score,r2_logistic,r2_linear,has_inflection,growth_range
0,Railroad,Norway,National,saturating,147,1825,False,,1.0,0.0,0.406,0.962,0.5559,True,0.313
1,Railroad,France,National,saturating,116,1825,False,,1.0,0.0,0.255,0.9701,0.715,True,0.414
2,Railroad,Finland,National,saturating,176,1825,False,,1.0,0.0,0.3208,0.9716,0.6508,True,0.273
3,Railroad,Sweden,National,saturating,134,1825,False,,1.0,0.0,0.6904,0.9971,0.3067,True,0.104
4,Railroad,Denmark,National,saturating,113,1825,False,,1.0,0.0,0.6065,0.9998,0.3933,True,0.027
5,Railroad,Italy,National,pre_saturation,176,1825,False,,1.0,0.0,0.1263,0.9945,0.8683,True,0.477
6,Railroad,Portugal,National,pre_saturation,176,1825,False,,1.0,0.0,0.1841,0.9638,0.7796,True,0.324
7,Railroad,United Kingdom,National,saturating,126,1825,False,,1.0,0.0,0.1104,0.9918,0.8814,True,0.476
8,Railroad,Spain,National,saturating,144,1825,False,,1.0,0.0,0.4977,0.9932,0.4954,True,0.201
9,Railroad,United States,National,saturating,106,1830,False,,1.0,0.0,0.0488,0.9378,0.889,False,0.679
10,Railroad,Panama,National,saturating,170,1830,False,,1.0,0.0,0.2586,0.9999,0.7414,True,0.012
11,Railroad,Switzerland,National,saturating,122,1825,False,,1.0,0.0,0.2629,0.8137,0.5508,True,0.262
12,Railroad,Belgium,National,saturating,117,1825,False,,1.0,0.0,0.0639,0.9832,0.9193,True,0.47
13,Railroad,Netherlands,National,saturating,110,1825,False,,1.0,0.0,0.3218,0.9903,0.6686,True,0.173
14,Railroad,Canada,National,saturating,144,1836,False,,1.0,0.0,0.0372,0.9265,0.8893,True,0.549
15,Railroad,Ecuador,National,saturating,124,1845,False,,1.0,0.0,0.9683,0.9953,0.0269,False,0.0
16,Railroad,Brazil,National,saturating,118,1845,False,,1.0,0.0,0.1163,0.9858,0.8694,True,0.5
17,Railroad,Uruguay,National,saturating,155,1845,False,,1.0,0.0,0.2359,0.8802,0.6443,True,0.355
18,Railroad,Paraguay,National,saturating,109,1845,False,,1.0,0.0,0.34,0.9993,0.6593,True,0.083
19,Railroad,Colombia,National,saturating,137,1845,False,,1.0,0.0,0.2915,0.893,0.6015,True,0.307
20,Railroad,Guyana,National,saturating,84,1845,False,,1.0,0.0,0.2251,0.9848,0.7597,True,0.405
21,Steamships,Denmark,National,saturating,83,1844,False,,1.0,0.0,-0.0076,0.8778,0.8854,True,0.831
22,Railroad,Japan,National,saturating,138,1853,False,,1.0,0.0,0.5086,0.9765,0.4679,True,0.217
23,Railroad,Argentina,National,saturating,117,1845,False,,1.0,0.0,0.319,0.9787,0.6598,True,0.231
25,Railroad,India,National,saturating,88,1853,False,,1.0,0.0,0.052,0.9946,0.9426,True,0.534
27,Railroad,Kenya,National,pre_saturation,137,1862,False,,1.0,0.0,0.8773,0.9951,0.1178,True,0.044
29,Railroad,Egypt,National,saturating,137,1862,False,,1.0,0.0,0.011,0.7346,0.7237,True,0.796
30,Railroad,Mauritius,National,saturating,69,1862,False,,1.0,0.0,0.3903,0.9982,0.6078,True,0.13
35,Railroad,Chile,National,saturating,83,1860,False,,1.0,0.0,0.0205,0.7068,0.6863,True,0.904
36,Railroad,Algeria,National,saturating,75,1862,False,,1.0,0.0,0.22,0.9889,0.769,True,0.227
38,Railroad,New Zealand,National,saturating,94,1865,False,,1.0,0.0,0.1152,0.9919,0.8767,True,0.436
39,Railroad,Venezuela,National,saturating,85,1870,False,,1.0,0.0,0.0063,0.8216,0.8153,True,0.518
40,Railroad,Sri Lanka,National,saturating,106,1871,False,,1.0,0.0,-0.0099,0.9537,0.9636,True,0.802
41,Railroad,Nigeria,National,saturating,126,1873,False,,1.0,0.0,0.6391,0.979,0.3399,True,0.103
42,Railroad,South Africa,National,pre_saturation,126,1873,False,,1.0,0.0,-0.0055,0.9821,0.9876,True,0.81
43,Railroad,Australia,National,saturating,86,1869,False,,1.0,0.0,0.039,0.9896,0.9506,False,0.674
44,Railroad,El Salvador,National,saturating,112,1875,False,,1.0,0.0,0.0182,0.9754,0.9572,True,0.554
45,Railroad,Nicaragua,National,saturating,82,1875,False,,1.0,0.0,0.1577,0.9924,0.8348,True,0.22
46,Steamships,United Kingdom,National,declining_structural,101,1814,False,,1.0,0.0,0.035,0.9879,0.9529,True,0.624
47,Steamships,Norway,National,pre_saturation,123,1866,False,,1.0,0.011,0.0092,0.974,0.9648,True,0.764
49,Public Roads,United States,National,saturating,121,1900,False,,1.0,0.0,0.0608,0.9992,0.9384,True,0.421
50,Railroad,Senegal,National,saturating,86,1873,False,,1.0,0.0,0.3805,0.9997,0.6192,True,0.116
51,Railroad,Guatemala,National,saturating,94,1875,False,,1.0,0.0,0.166,0.995,0.8289,True,0.223
53,Steamships,Finland,National,declining_structural,82,1839,False,,0.985,0.0,-0.0095,0.446,0.4555,True,0.829
55,Railroad,Peru,National,saturating,70,1883,False,,1.0,0.0,-0.0045,0.648,0.6525,True,0.957
56,Railroad,Honduras,National,saturating,63,1875,False,,1.0,0.0,0.139,0.9577,0.8188,True,0.302
57,Telephones,Japan,National,saturating,111,1892,False,,1.0,0.0,0.1639,0.9828,0.8189,True,0.514
58,Stove,United States,National,saturating,112,1900,False,,1.0,0.0,-0.0144,0.9571,0.9714,True,0.83
59,Passenger Cars,US,National,pre_saturation,106,1900,False,,1.0,0.0,0.34,0.9929,0.653,True,0.311
60,Railroad,Dominican Republic,National,saturating,89,1885,False,,1.0,0.0,-0.0132,0.9256,0.9388,True,0.843
61,Telephones,Italy,National,pre_saturation,108,1883,False,,1.0,0.0,0.1053,0.8903,0.785,True,0.787
62,Telephones,Switzerland,National,saturating,94,1900,False,,1.0,0.0,0.0031,0.992,0.9889,True,0.787
63,Passenger Cars,United States,National,pre_saturation,103,1900,False,,1.0,0.0,0.2583,0.9928,0.7345,True,0.379
64,Railroad,Malaysia,National,saturating,106,1886,False,,1.0,0.0,0.0029,0.9762,0.9733,True,0.604
65,Railroad,Bolivia,National,saturating,104,1890,False,,1.0,0.0,0.0651,0.6276,0.5625,True,0.808
66,Passenger Cars,France,National,pre_saturation,106,1895,False,,0.91,0.0,0.0753,0.9845,0.9092,True,0.491
67,Telephones,New Zealand,National,pre_saturation,98,1890,False,,1.0,0.0,0.1142,0.9449,0.8307,True,0.663
68,Telephones,Belgium,National,pre_saturation,103,1896,False,,0.697,0.0,0.0372,0.957,0.9197,True,0.718
69,Telephones,France,National,pre_saturation,97,1889,False,,1.0,0.0,0.0584,0.9853,0.9269,False,0.691
70,Passenger Cars,Canada,National,pre_saturation,95,1904,False,,1.0,0.0,0.2222,0.9834,0.7612,True,0.411
71,Passenger Cars,United Kingdom,National,pre_saturation,95,1904,False,,1.0,0.0,-0.0057,0.7682,0.7739,True,0.768
72,Railroad,Uganda,National,saturating,94,1905,False,,1.0,0.0,0.2223,0.9952,0.773,True,0.085
73,Railroad,Madagascar,National,saturating,94,1905,False,,1.0,0.0,-0.0151,0.9113,0.9265,True,0.83
74,Railroad,Morocco,National,pre_saturation,94,1905,False,,1.0,0.0,0.0428,0.977,0.9342,True,0.468
75,Railroad,Sudan,National,saturating,93,1906,False,,0.979,0.0,0.3217,0.9918,0.6701,True,0.129
76,Railroad,Ivory Coast,National,saturating,94,1905,False,,1.0,0.0,0.245,0.9785,0.7335,True,0.298
78,Telephones,Australia,National,pre_saturation,93,1901,False,,1.0,0.0,0.0101,0.9931,0.983,True,0.613
79,Telephones,Netherlands,National,pre_saturation,104,1900,False,,1.0,0.0,0.0382,0.9843,0.9461,False,0.692
80,Telephones,Egypt,National,pre_saturation,92,1911,False,,1.0,0.0,0.0342,0.979,0.9448,True,0.739
81,Railroad,Malawi,National,saturating,91,1905,False,,1.0,0.0,-0.0169,0.8447,0.8615,True,0.593
83,Telephones,Denmark,National,pre_saturation,91,1900,False,,1.0,0.0,0.0172,0.98,0.9628,False,0.725
84,Washing Machines,US,National,pre_saturation,89,1920,False,,1.0,0.0,0.0187,0.9918,0.973,False,0.685
85,Telephones,Uruguay,National,pre_saturation,100,1889,False,,1.0,0.061,0.0494,0.966,0.9166,True,0.8
86,Railroad,Tunisia,National,saturating,90,1909,False,,1.0,0.0,0.1802,0.961,0.7808,True,0.489
87,Passenger Cars,Norway,National,pre_saturation,87,1914,False,,0.923,0.0,0.0404,0.9781,0.9377,True,0.598
